r_k,log_Re,target
60,3.653,0.593
60,3.7,0.577
60,3.74,0.571
60,3.785,0.56
60,3.851,0.544
60,3.869,0.531
60,3.909,0.512
60,3.949,0.512
60,3.996,0.507
60,4.057,0.494
60,4.09,0.49
60,4.161,0.494
60,4.236,0.487
60,4.29,0.487
60,4.391,0.481
60,4.412,0.489
60,4.512,0.49
60,4.54,0.487
60,4.553,0.498
60,4.58,0.493
60,4.609,0.507
60,4.654,0.504
60,4.665,0.507
60,4.699,0.509
60,4.74,0.517
60,4.769,0.52
60,4.813,0.528
60,4.849,0.526
60,4.93,0.543
60,4.954,0.534
60,5.034,0.543
60,5.155,0.543
60,5.083,0.545
60,5.185,0.55
60,5.231,0.537
60,4.875,0.535
60,4.924,0.534
60,4.954,0.542
60,5.052,0.535
60,5.033,0.54
60,5.13,0.545
60,5.17,0.55
60,5.196,0.547
60,5.23,0.568
60,5.258,0.551
60,5.283,0.555
60,5.312,0.551
60,5.35,0.555
60,5.408,0.55
60,5.47,0.555
60,5.497,0.543
60,5.515,0.551
60,5.549,0.55
60,5.554,0.558
60,5.575,0.551
60,5.6,0.55
60,5.621,0.56
60,5.625,0.543
60,5.641,0.543
60,5.655,0.55
60,5.659,0.551
60,5.668,0.56
60,5.691,0.553
60,5.714,0.551
60,5.748,0.558
60,5.757,0.55
60,5.789,0.551
60,5.836,0.547
60,5.865,0.555
60,5.914,0.553
60,5.916,0.55
60,5.945,0.551
60,5.962,0.555
