r_k,log_Re,target
15,3.77,0.696
15,3.82,0.699
15,3.855,0.707
15,3.905,0.712
15,3.955,0.717
15,4,0.73
15,4.041,0.734
15,4.076,0.736
15,4.079,0.744
15,4.114,0.751
15,4.133,0.74
15,4.179,0.744
15,4.196,0.754
15,4.27,0.76
15,4.29,0.756
15,4.314,0.769
15,4.34,0.763
15,4.366,0.778
15,4.386,0.772
15,4.41,0.772
15,4.425,0.782
15,4.466,0.785
15,4.52,0.78
15,4.59,0.781
15,4.63,0.777
15,4.725,0.78
15,4.811,0.781
15,4.865,0.777
15,4.885,0.776
15,4.965,0.779
15,5,0.781
15,5.042,0.78
15,5.098,0.781
15,5.155,0.778
15,5.179,0.781
15,5.285,0.779
15,4.44,0.775
15,4.5,0.777
15,4.54,0.778
15,4.596,0.78
15,4.685,0.781
15,4.722,0.777
15,4.845,0.775
15,4.869,0.778
15,4.929,0.78
15,4.949,0.779
15,5.002,0.777
15,5.005,0.775
15,5.097,0.778
15,5.139,0.783
15,5.156,0.784
15,5.22,0.777
15,5.236,0.78
15,5.31,0.778
15,5.36,0.775
15,5.41,0.78
15,5.446,0.78
15,5.455,0.777
15,5.515,0.781
15,5.567,0.778
15,5.613,0.78
15,5.69,0.784
15,5.834,0.781
15,5.882,0.777
15,5.959,0.778
15,6.008,0.78
15,5.793,0.78
15,5.857,0.777
15,5.93,0.778
15,5.987,0.78
