r_k,log_Re,target
507,4.114,0.456
507,4.23,0.438
507,4.322,0.417
507,4.362,0.407
507,4.362,0.403
507,4.462,0.381
507,4.491,0.38
507,4.532,0.366
507,4.568,0.365
507,4.591,0.356
507,4.623,0.347
507,4.672,0.333
507,4.69,0.324
507,4.716,0.32
507,4.763,0.307
507,4.806,0.303
507,4.851,0.292
507,4.898,0.286
507,4.94,0.278
507,4.973,0.274
507,5.009,0.274
507,5.025,0.272
507,5.049,0.27
507,5.1,0.262
507,5.143,0.26
507,5.199,0.255
507,5.236,0.253
507,5.27,0.255
507,5.281,0.253
507,5.303,0.25
507,5.326,0.252
507,5.377,0.255
507,5.43,0.253
507,5.493,0.258
507,5.534,0.26
507,5.574,0.262
507,5.608,0.29
507,5.63,0.272
507,5.668,0.272
507,5.709,0.272
507,5.756,0.278
507,5.792,0.279
507,5.833,0.283
507,5.94,0.286
507,5.965,0.288
507,5.929,0.289
507,5.954,0.288
507,5.987,0.286
