r_k,log_Re,target
30.6,3.672,0.592
30.6,3.708,0.59
30.6,3.748,0.592
30.6,3.763,0.597
30.6,3.785,0.583
30.6,3.826,0.585
30.6,3.869,0.596
30.6,3.881,0.578
30.6,3.929,0.578
30.6,3.935,0.583
30.6,3.978,0.578
30.6,4.009,0.585
30.6,4.049,0.583
30.6,4.079,0.592
30.6,4.124,0.59
30.6,4.13,0.599
30.6,4.19,0.599
30.6,4.27,0.609
30.6,4.29,0.618
30.6,4.309,0.612
30.6,4.584,0.639
30.6,4.653,0.644
30.6,4.799,0.647
30.6,4.9,0.656
30.6,4.965,0.656
30.6,5.029,0.652
30.6,5.068,0.65
30.6,5.134,0.65
30.6,5.176,0.65
30.6,4.425,0.637
30.6,4.44,0.63
30.6,4.56,0.637
30.6,4.636,0.647
30.6,4.74,0.654
30.6,4.83,0.654
30.6,4.855,0.661
30.6,4.99,0.657
30.6,5.1,0.652
30.6,5.24,0.657
30.6,5.275,0.657
30.6,5.323,0.647
30.6,5.473,0.657
30.6,5.655,0.652
30.6,4.934,0.656
30.6,5.068,0.657
30.6,5.17,0.659
30.6,5.223,0.656
30.6,5.255,0.652
30.6,5.342,0.657
30.6,5.344,0.657
30.6,5.394,0.659
30.6,5.428,0.659
30.6,5.444,0.661
30.6,5.516,0.657
30.6,5.541,0.659
30.6,5.559,0.657
30.6,5.776,0.659
30.6,5.81,0.659
30.6,5.863,0.657
30.6,5.916,0.659
30.6,5.962,0.65
30.6,6,0.659
